QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
2015,-0.11613655019338906,0.0,695.5366666666666,0.0,353.63,6.716666666666667,0
2034,-0.10343487998846124,0.0,697.6633333333333,0.0,353.45,6.78,0
2032,-0.1408653576073684,0.0,697.99,0.0,353.80333333333334,6.773333333333333,0
2036,-0.13361473835287488,0.0,700.8733333333333,0.0,355.9,6.786666666666667,0
2022,-0.30029054801141003,0.0,697.86,0.0,355.1933333333333,6.74,0
2028,-0.10968642780296431,0.0,697.71,0.0,354.21666666666664,6.76,0
2031,-0.18359638457812447,0.0,697.7133333333334,0.0,353.56666666666666,6.77,0
2025,-0.17868173481505595,0.0,700.3933333333333,0.0,357.1666666666667,6.75,0
2041,-0.10872303966445586,0.0,703.5433333333333,0.0,357.61,6.803333333333334,0
2032,-0.1159263232092219,0.0,698.6033333333334,0.0,354.0566666666667,6.773333333333333,0
2045,-0.17473844176108214,0.0,701.2333333333333,0.0,355.02,6.816666666666666,0
2039,-0.14345343537398447,0.0,699.03,0.0,354.0566666666667,6.796666666666667,0
2023,-0.11959335418603118,0.0,697.0333333333333,0.0,354.11333333333334,6.743333333333333,0
2050,-0.20788566275340756,0.0,702.32,0.0,355.52,6.833333333333333,0
2050,-0.13634750191758319,0.0,701.42,0.0,354.91333333333336,6.833333333333333,0
2043,-0.12227887822551232,0.0,701.3866666666667,0.0,355.3066666666667,6.81,0
2021,-0.10130538001383725,0.0,695.9566666666667,0.0,353.45,6.736666666666666,0
2029,-0.17229408804215252,0.0,699.24,0.0,355.38666666666666,6.763333333333334,0
2035,-0.1527185990710809,0.0,695.6266666666667,0.0,351.58666666666664,6.783333333333333,0
2038,-0.2115192242529722,0.0,698.7266666666667,0.0,353.7133333333333,6.793333333333333,0
2039,-0.10250551435162823,0.0,701.1966666666667,0.0,355.89,6.796666666666667,0
2026,-0.1027326927486318,0.0,697.0933333333334,0.0,354.02666666666664,6.753333333333333,0
2022,-0.1599548918321272,16.491300420749063,694.57,8.547055630919383,351.93,6.74,0
2012,-0.10129890977506846,0.0,696.9266666666666,0.0,355.46,6.706666666666667,0
2050,-0.16188801404906483,0.0,701.51,0.0,354.8833333333333,6.833333333333333,0
2034,-0.20390812708330483,0.0,698.4233333333333,0.0,353.77,6.78,0
2009,0.002351137581839972,21.426318817151113,694.5933333333334,7.231912393767784,353.7133333333333,6.696666666666666,0
2023,-0.17344614673356165,0.0,695.3866666666667,0.0,352.41333333333336,6.743333333333333,0
2034,-0.1119649900213221,0.0,698.2833333333333,0.0,353.8433333333333,6.78,0
2055,-0.10266962944736156,0.0,703.15,0.0,355.71,6.85,0
2012,-0.10216863657797781,0.0,695.2766666666666,0.0,353.87666666666667,6.706666666666667,0
2040,-0.13907502866258808,0.0,700.8233333333334,0.0,355.43666666666667,6.8,0
2035,-0.12396241441112771,0.0,697.6033333333334,0.0,352.99,6.783333333333333,0
2042,-0.1265693071656783,0.0,699.4166666666666,0.0,353.72333333333336,6.806666666666667,0
2033,-0.20513359443694573,0.0,701.14,0.0,357.00666666666666,6.776666666666666,0
2045,-0.23828166772800435,0.0,698.7466666666667,0.0,352.84,6.816666666666666,0
2042,-0.10565429464726911,0.0,699.8633333333333,0.0,354.17,6.806666666666667,0
2038,-0.2119484325620447,0.0,698.78,0.0,353.4866666666667,6.793333333333333,0
2043,-0.14415298357817452,0.0,697.68,0.0,351.94666666666666,6.81,0
2026,-0.11656180868497135,0.0,696.7,0.0,353.78,6.753333333333333,0
2046,-0.12938280003045194,0.0,700.42,0.0,354.18,6.82,0
2031,-0.20403133220475392,0.0,696.2433333333333,0.0,352.00333333333333,6.77,0
2041,-0.10085041636289889,0.0,700.61,0.0,355.18333333333334,6.803333333333334,0
1625,-0.34547865706223707,11.128292199705323,559.69,5.693517837075527,284.13,5.416666666666667,0
