QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
958,-0.10063888061021713,0.0,394.1566666666667,0.0,229.38333333333333,3.1933333333333334,0
916,-0.2631203318787454,0.0,383.92333333333335,0.0,225.99,3.0533333333333332,1
921,-0.20054759808394343,0.0,395.28333333333336,0.0,235.77666666666667,3.07,0
867,-0.10236806468017648,0.0,357.27,0.0,207.85666666666665,2.89,0
993,-0.16948944948471084,0.0,423.55333333333334,0.0,252.32666666666665,3.31,0
1054,-0.10109146903542911,0.0,432.2266666666667,0.0,250.42666666666668,3.513333333333333,2
962,-0.10158430563436972,0.0,383.3,0.0,217.66,3.2066666666666666,3
1074,-0.20438616879603494,0.0,453.5466666666667,0.0,268.1333333333333,3.58,0
958,-0.10148058156628699,0.0,392.4,0.0,226.72,3.1933333333333334,1
1055,-0.13037179702831106,0.0,430.9766666666667,0.0,248.91,3.5166666666666666,1
900,-0.10132339980867174,0.0,392.34,0.0,236.84666666666666,3.0,2
899,-0.10129209673311872,0.0,377.21,0.0,221.65,2.9966666666666666,0
927,-0.10149242474166063,0.0,389.4633333333333,0.0,229.70333333333335,3.09,0
907,-0.1937664091389918,0.0,382.74666666666667,0.0,226.37333333333333,3.0233333333333334,0
926,-0.1622768452564017,0.0,376.6933333333333,0.0,216.88,3.0866666666666664,0
889,-0.1014650669891735,0.0,374.0733333333333,0.0,220.28666666666666,2.9633333333333334,1
1006,-0.1592432011666876,0.0,409.39666666666665,0.0,236.23666666666668,3.3533333333333335,1
957,-0.22309511706871424,0.0,397.0366666666667,0.0,231.22333333333333,3.19,0
1086,-0.14944364374733324,0.0,470.1433333333333,0.0,282.41,3.62,1
763,-0.11743128377831935,0.0,314.96666666666664,0.0,184.07333333333332,2.5433333333333334,1
930,-0.12162995287167129,0.0,386.79,0.0,226.93666666666667,3.1,0
969,-0.14947177111425883,0.0,401.06,0.0,233.36666666666667,3.23,0
980,-0.12344456594817492,0.0,416.8433333333333,0.0,248.09666666666666,3.2666666666666666,3
1013,-0.10230113840997514,0.0,418.82666666666665,0.0,244.2,3.3766666666666665,1
922,-0.09986093142544629,0.0,395.75,0.0,236.55,3.0733333333333333,2
813,-0.10098494345558232,0.0,337.21,0.0,197.06333333333333,2.71,1
814,-0.10187966847009683,0.0,338.64666666666665,0.0,197.47333333333333,2.7133333333333334,0
1115,-0.14361860142694996,0.0,460.7,0.0,268.12666666666667,3.716666666666667,2
910,-0.1129841359107049,0.0,381.28,0.0,224.13333333333333,3.033333333333333,0
963,-0.10090664762574193,0.0,401.6766666666667,0.0,235.01,3.21,1
920,-0.10182130129440971,0.0,383.2266666666667,0.0,224.54666666666665,3.066666666666667,1
1037,-0.11860930885160441,0.0,443.50333333333333,0.0,264.2633333333333,3.4566666666666666,1
1015,-0.17794832361155544,0.0,429.56666666666666,0.0,254.72666666666666,3.3833333333333333,0
953,-0.1021536614937397,0.0,383.63666666666666,0.0,219.83666666666667,3.1766666666666667,0
983,-0.10321807400498725,0.0,410.35333333333335,0.0,240.67333333333335,3.276666666666667,2
985,-0.10119857400807027,0.0,418.79333333333335,0.0,248.99333333333334,3.283333333333333,3
1049,-0.10101080713553924,0.0,452.9166666666667,0.0,272.10333333333335,3.4966666666666666,0
958,-0.10909736504883258,0.0,400.89,0.0,236.25,3.1933333333333334,1
1034,-0.1010781927772832,0.0,414.94666666666666,0.0,237.4,3.4466666666666668,0
895,-0.17720034268981252,0.0,390.0733333333333,0.0,235.92666666666668,2.9833333333333334,1
1027,-0.10229681366954829,0.0,440.5833333333333,0.0,264.05,3.4233333333333333,2
1027,-0.13110172086936706,0.0,433.6933333333333,0.0,256.53333333333336,3.4233333333333333,1
1053,-0.12200426806298642,0.0,440.18,0.0,258.0733333333333,3.51,1
974,-0.10064552452040404,0.0,393.36,0.0,225.2,3.2466666666666666,0
1049,-0.10123388305860434,0.0,454.97,0.0,274.05,3.4966666666666666,0
921,-0.10284053670984655,0.0,379.27666666666664,0.0,220.63666666666666,3.07,0
898,-0.101470226168898,0.0,376.59,0.0,221.04333333333332,2.993333333333333,2
936,-0.10192688841086167,0.0,381.4266666666667,0.0,219.90666666666667,3.12,2
974,-0.17943024317097125,0.0,413.99333333333334,0.0,246.11333333333334,3.2466666666666666,3
1043,-0.11648507109081528,0.0,438.6433333333333,0.0,257.89666666666665,3.4766666666666666,0
867,-0.1018133369696594,0.0,356.4433333333333,0.0,206.33666666666667,2.89,0
1028,-0.1158943009283756,0.0,443.85333333333335,0.0,265.97333333333336,3.4266666666666667,1
1060,-0.11875428163780356,0.0,441.09,0.0,258.42333333333335,3.533333333333333,0
947,-0.10043918696225256,0.0,389.32666666666665,0.0,225.96666666666667,3.1566666666666667,0
879,-0.09984979125013124,0.0,355.02,0.0,203.00666666666666,2.93,0
1047,-0.15105273548261028,0.0,442.23,0.0,261.19,3.49,0
900,-0.110508095158471,0.0,371.6566666666667,0.0,216.45666666666668,3.0,0
