QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
803,-0.3364506510096796,0.0,313.0233333333333,0.0,176.49,2.6766666666666667,0
807,-0.4054258431052925,0.0,322.11333333333334,0.0,184.48666666666668,2.69,0
773,-0.41097466850034015,0.0,309.08,0.0,177.54666666666665,2.5766666666666667,1
791,-0.4040942228247333,0.0,313.1166666666667,0.0,179.01,2.6366666666666667,1
750,-0.41042851130167646,0.0,296.78,0.0,169.39333333333335,2.5,0
856,-0.4267887712639069,0.0,329.6333333333333,0.0,183.59333333333333,2.8533333333333335,0
806,-0.40292571644037595,0.0,307.66,0.0,170.54,2.6866666666666665,0
815,-0.5113659232672007,0.0,310.73333333333335,0.0,172.52,2.716666666666667,1
804,-0.504103952379369,0.0,316.8333333333333,0.0,180.28666666666666,2.68,0
818,-0.41055400797090785,0.0,319.0133333333333,0.0,179.64,2.7266666666666666,0
781,-0.41165114273335046,0.0,304.86333333333334,0.0,171.49,2.6033333333333335,0
822,-0.4065083033267019,0.0,325.92,0.0,186.38666666666666,2.74,0
759,-0.4090137089036984,0.0,302.33666666666664,0.0,172.76333333333332,2.53,0
825,-0.41036252108487214,0.0,311.34,0.0,171.5,2.75,0
787,-0.40566859493716095,0.0,311.5733333333333,0.0,177.86666666666667,2.6233333333333335,0
819,-0.4104134163140377,0.0,327.78,0.0,188.38,2.73,0
814,-0.4195868356807812,0.0,321.56666666666666,0.0,183.22,2.7133333333333334,0
780,-0.4049635709860386,0.0,308.58,0.0,176.00666666666666,2.6,0
814,-0.40667605370795695,0.0,324.24,0.0,185.8,2.7133333333333334,1
758,-0.44017209289570913,0.0,308.03333333333336,0.0,179.24666666666667,2.526666666666667,1
849,-0.40785665618797634,0.0,320.83666666666664,0.0,176.29,2.83,0
781,-0.41090784732266666,0.0,310.58,0.0,176.83333333333334,2.6033333333333335,0
723,-0.6087353305368173,0.0,283.25666666666666,0.0,160.45666666666668,2.41,0
791,-0.43007642128675533,0.0,309.7,0.0,174.71333333333334,2.6366666666666667,0
796,-0.4399910395468899,0.0,305.1666666666667,0.0,169.98,2.6533333333333333,0
810,-0.43126168692553485,0.0,312.78,0.0,175.22,2.7,0
827,-0.4018885432016172,0.0,323.64666666666665,0.0,182.94,2.756666666666667,0
787,-0.4065298313106939,0.0,315.0466666666667,0.0,180.75333333333333,2.6233333333333335,0
814,-0.47727026488329916,0.0,319.54,0.0,181.23333333333332,2.7133333333333334,0
802,-0.40177430743885756,0.0,312.5133333333333,0.0,175.96666666666667,2.6733333333333333,0
855,-0.4130717458780746,0.0,329.97333333333336,0.0,184.93333333333334,2.85,0
833,-0.40786349787717824,0.0,324.95,0.0,183.09666666666666,2.776666666666667,0
796,-0.4137679700875402,0.0,321.28333333333336,0.0,185.59,2.6533333333333333,0
761,-0.4045580542510505,0.0,299.74333333333334,0.0,170.06333333333333,2.5366666666666666,0
817,-0.42155422954255833,0.0,323.47,0.0,184.56333333333333,2.723333333333333,0
794,-0.4827337012783406,0.0,319.46666666666664,0.0,183.52,2.6466666666666665,0
804,-0.40553001740678624,0.0,322.96666666666664,0.0,186.19333333333333,2.68,0
774,-0.43760490171052996,0.0,308.28333333333336,0.0,176.36333333333334,2.58,0
758,-0.4156920513565748,0.0,283.96,0.0,155.16,2.526666666666667,0
767,-0.4044006374388972,0.0,306.2733333333333,0.0,175.52666666666667,2.5566666666666666,0
819,-0.40835117682432515,0.0,321.28333333333336,0.0,181.63,2.73,0
847,-0.4041154407131911,0.0,333.03333333333336,0.0,189.03333333333333,2.8233333333333333,1
792,-0.40615733494662276,0.0,309.3333333333333,0.0,174.17333333333335,2.64,0
819,-0.4093180066645509,0.0,316.19,0.0,176.53666666666666,2.73,0
812,-0.41038832347381293,0.0,327.57666666666665,0.0,189.19,2.7066666666666666,0
810,-0.40244019679081294,0.0,314.12666666666667,0.0,176.44666666666666,2.7,0
792,-0.4068634805053171,0.0,313.66333333333336,0.0,178.70333333333335,2.64,2
842,-0.4042929113619118,0.0,334.14,0.0,191.12666666666667,2.8066666666666666,1
785,-0.408771581103088,0.0,305.6666666666667,0.0,171.89333333333335,2.6166666666666667,0
842,-0.4120047539826527,0.0,330.8233333333333,0.0,187.83666666666667,2.8066666666666666,1
796,-0.4652175564861777,0.0,311.95666666666665,0.0,176.67666666666668,2.6533333333333333,0
819,-0.4314228620866862,0.0,322.3666666666667,0.0,183.02,2.73,0
767,-0.460794944029588,0.0,294.9433333333333,0.0,164.97,2.5566666666666666,0
794,-0.4057540455152766,0.0,322.34,0.0,186.83333333333334,2.6466666666666665,1
803,-0.39954213009379425,0.0,330.2633333333333,0.0,193.22333333333333,2.6766666666666667,0
793,-0.4032064076480168,0.0,317.23,0.0,182.09666666666666,2.6433333333333335,0
822,-0.40991997892839194,0.0,314.0833333333333,0.0,174.01666666666668,2.74,0
788,-0.40795151019459447,0.0,314.36333333333334,0.0,180.08333333333334,2.6266666666666665,0
805,-0.43535993558279473,0.0,308.54333333333335,0.0,171.79666666666665,2.683333333333333,1
718,-0.40680740902350804,0.0,281.74666666666667,0.0,159.29333333333332,2.3933333333333335,1
753,-0.4016523633503502,0.0,293.0,0.0,164.85333333333332,2.51,0
841,-0.46811024952728597,0.0,338.05333333333334,0.0,194.84,2.8033333333333332,0
830,-0.4079528811466263,0.0,323.8466666666667,0.0,181.48666666666668,2.7666666666666666,0
805,-0.41612844082139294,0.0,315.89666666666665,0.0,178.93666666666667,2.683333333333333,1
824,-0.4024212852265071,0.0,322.10333333333335,0.0,181.47666666666666,2.7466666666666666,0
802,-0.4042455192813255,0.0,319.5566666666667,0.0,183.13,2.6733333333333333,0
765,-0.42153020466075225,0.0,300.3066666666667,0.0,169.93333333333334,2.55,0
844,-0.4062260476898808,0.0,333.8666666666667,0.0,190.90666666666667,2.8133333333333335,0
789,-0.40993319023093644,0.0,304.9766666666667,0.0,171.12333333333333,2.63,0
859,-0.41387972148944113,0.0,328.9,0.0,183.14,2.8633333333333333,0
837,-0.4058559365312401,0.0,332.1433333333333,0.0,189.75666666666666,2.79,0
