QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
1266,-0.20745447141487638,0.0,495.31,0.0,278.16333333333336,4.22,0
1271,-0.16831054057219572,0.0,476.0933333333333,0.0,258.04,4.236666666666666,0
1489,-0.10537818424488732,0.0,573.9466666666667,0.0,318.48,4.963333333333333,0
1297,-0.10205656083253317,0.0,498.49333333333334,0.0,275.4,4.323333333333333,0
1385,-0.12491465647728435,0.0,532.5766666666667,0.0,295.03,4.616666666666666,0
1448,-0.10012520512164627,0.0,546.1766666666666,0.0,297.91,4.826666666666667,0
1320,-0.11103980757973411,0.0,514.6966666666667,0.0,288.33666666666664,4.4,0
1364,-0.1391265331125679,0.0,523.58,0.0,289.86,4.546666666666667,0
1363,-0.10184205059434942,0.0,526.94,0.0,293.4066666666667,4.543333333333333,0
1364,-0.12226596483387206,0.0,522.04,0.0,287.8933333333333,4.546666666666667,0
1446,-0.10906402929524993,0.0,544.7233333333334,0.0,297.2033333333333,4.82,0
1430,-0.12923466875836565,0.0,548.9066666666666,0.0,303.81333333333333,4.766666666666667,1
1288,-0.19120423875240064,0.0,495.4166666666667,0.0,274.69666666666666,4.293333333333333,0
1377,-0.13704946323331058,0.0,547.8766666666667,0.0,311.30333333333334,4.59,0
1227,-0.10104457751074358,0.0,481.38,0.0,271.24666666666667,4.09,0
1491,-0.15367295820388435,0.0,569.1766666666666,0.0,313.71,4.97,0
1355,-0.13095242933153667,0.0,531.85,0.0,299.5966666666667,4.516666666666667,0
1351,-0.2560330580817956,0.0,511.8666666666667,0.0,280.24,4.503333333333333,0
1481,-0.1648896854524271,0.0,565.6066666666667,0.0,312.24666666666667,4.9366666666666665,0
1444,-0.10100500669505788,0.0,562.8066666666666,0.0,315.58,4.8133333333333335,0
1437,-0.11702298603708244,0.0,549.26,0.0,302.44666666666666,4.79,0
1443,-0.1478078618119016,0.0,548.6533333333333,0.0,301.3066666666667,4.81,0
1361,-0.10161614453065579,0.0,526.31,0.0,293.11,4.536666666666667,0
1383,-0.10740630504279919,0.0,538.6533333333333,0.0,301.2133333333333,4.61,0
1475,-0.19396984601424913,0.0,557.1133333333333,0.0,304.08666666666664,4.916666666666667,1
1293,-0.10396225177679334,0.0,499.43,0.0,278.03,4.31,0
1274,-0.13463980286985963,0.0,503.22333333333336,0.0,284.25,4.246666666666667,0
1409,-0.10360802869749373,0.0,540.2366666666667,0.0,299.1433333333333,4.696666666666666,0
1350,-0.1429434408964934,0.0,522.7066666666667,0.0,291.52,4.5,0
1444,-0.11986834983085992,0.0,555.8433333333334,0.0,307.12333333333333,4.8133333333333335,0
1357,-0.11350978782445785,0.0,531.94,0.0,299.55333333333334,4.523333333333333,0
1435,-0.10231636758465384,0.0,540.6833333333333,0.0,295.11,4.783333333333333,1
1425,-0.24094562848409018,0.0,547.08,0.0,303.88,4.75,0
1218,-0.15501215031190066,0.0,470.64666666666665,0.0,261.3933333333333,4.06,0
1183,-0.15490370429579928,0.0,454.3466666666667,0.0,251.62666666666667,3.9433333333333334,0
1395,-0.18125034301511703,0.0,543.5866666666667,0.0,303.6666666666667,4.65,0
1296,-0.10160619517167409,0.0,498.1433333333333,0.0,274.95666666666665,4.32,0
1497,-0.1208010993962616,0.0,591.5333333333333,0.0,335.2133333333333,4.99,0
1310,-0.1189139173231052,0.0,494.9166666666667,0.0,269.8233333333333,4.366666666666666,0
1391,-0.10860485965446291,0.0,537.11,0.0,298.91,4.636666666666667,0
1455,-0.10160228673535114,0.0,558.4733333333334,0.0,308.22,4.85,0
1474,-0.1057239766036801,0.0,568.8466666666667,0.0,316.96666666666664,4.913333333333333,0
1301,-0.11290786817933302,0.0,504.91,0.0,281.95,4.336666666666667,1
1369,-0.12046132408153236,0.0,535.3466666666667,0.0,301.14666666666665,4.5633333333333335,0
1356,-0.24381483620950253,0.0,526.2966666666666,0.0,293.31,4.52,0
1488,-0.10292994158883248,0.0,565.5,0.0,310.8333333333333,4.96,0
