QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
1946,-0.25895395639131397,972.6286428388233,1033.2666666666667,494.6175656736808,684.7866666666666,6.486666666666666,0
2034,-0.20181831052286903,0.0,1108.3466666666666,0.0,743.4933333333333,6.78,0
2052,-0.2065333315038774,0.0,1094.84,0.0,725.9866666666667,6.84,0
2069,-0.21486541762796793,62.92436046914307,1081.5266666666666,0.0,710.3266666666667,6.8966666666666665,0
2015,-0.20375114954434909,18.034005869011402,1089.6466666666668,0.0,728.4066666666666,6.716666666666667,0
2042,-0.1672076366323682,69.47072028550386,1097.2266666666667,0.0,730.7466666666667,6.806666666666667,0
2036,-0.23314158832160334,180.56744936574162,1091.0666666666666,0.0,725.7466666666667,6.786666666666667,0
2036,-0.14152880138873117,0.0,1055.4633333333334,0.0,690.9566666666667,6.786666666666667,0
2004,-0.21595133778577794,0.0,1078.66,0.0,719.6733333333333,6.68,0
2036,-0.25391418877659705,272.8499546654013,1073.2933333333333,0.0,707.7333333333333,6.786666666666667,0
2035,-0.1793102450687118,0.0,1108.5966666666666,0.0,743.33,6.783333333333333,0
2013,-0.2211114299042688,0.0,1114.7266666666667,0.0,752.98,6.71,0
2019,-0.20551110577500653,330.00303402976266,1125.1066666666666,153.36040664178216,762.4133333333333,6.73,0
2021,-0.23496197816583558,444.1101113208431,1086.5333333333333,0.0,724.3466666666667,6.736666666666666,0
2039,-0.18971788433031922,9510.685396219778,1091.8366666666666,7850.462696058715,725.7433333333333,6.796666666666667,0
1999,-0.24404340186317067,0.0,1125.6333333333334,0.0,766.6066666666667,6.663333333333333,0
2039,-0.24155353704698534,0.0,1065.2066666666667,0.0,698.6866666666666,6.796666666666667,0
2033,-0.19185251668938497,0.0,1089.48,0.0,724.9066666666666,6.776666666666666,0
2019,-0.1510297622699558,0.0,1078.6433333333334,0.0,716.2966666666666,6.73,0
2062,-0.2706158950881514,87.56038309106441,1078.8433333333332,0.0,709.0566666666666,6.873333333333333,0
2042,-0.19260704353904165,0.0,1080.96,0.0,714.72,6.806666666666667,0
2018,-0.2282982869710629,0.0,1101.7733333333333,0.0,738.8266666666667,6.726666666666667,0
2040,-0.17783937711341707,0.0,1091.3133333333333,0.0,725.0333333333333,6.8,0
2047,-0.26986378125580684,0.0,1111.9466666666667,0.0,744.0133333333333,6.823333333333333,0
2053,-0.15016480718539277,245.2178331918575,1081.8533333333332,220.79000306546556,713.0,6.843333333333334,0
2061,-0.15679780688463976,0.0,1069.8633333333332,0.0,699.4633333333334,6.87,0
2039,-0.16535622059801972,0.0,1081.84,0.0,716.2533333333333,6.796666666666667,0
2048,-0.3469478174811229,0.0,1114.3666666666666,0.0,747.46,6.826666666666667,0
2065,-0.23683636344373948,0.0,1095.7166666666667,0.0,724.17,6.883333333333334,0
2019,-0.19681700672945096,0.0,1117.66,0.0,754.6333333333333,6.73,0
2057,-0.20348128301168913,30.984818130390817,1109.7766666666666,0.0,740.6966666666667,6.8566666666666665,0
2017,-0.14735842176635017,6639.989863973003,1083.5666666666666,4209.8069776220145,721.8333333333334,6.723333333333334,0
2076,-0.14262319449514782,0.0,1076.61,0.0,704.7033333333334,6.92,0
2061,-0.16581627803193547,0.0,1083.7166666666667,0.0,713.6633333333333,6.87,0
2060,-0.16817469261224988,0.0,1085.9433333333334,0.0,715.8633333333333,6.866666666666666,0
2009,-0.19121430298770584,0.0,1097.11,0.0,736.6433333333333,6.696666666666666,0
2048,-0.15453146456275135,0.0,1082.1333333333334,0.0,714.76,6.826666666666667,0
2020,-0.18042946652610703,36.0508120795385,1101.4633333333334,0.0,738.25,6.733333333333333,0
2011,-0.27482134201584735,0.0,1092.92,0.0,732.16,6.703333333333333,0
2057,-0.30678064671313815,473.8106418062246,1082.6833333333334,0.0,714.9766666666667,6.8566666666666665,0
2033,-0.1508865695367936,218.49644611366625,1054.6766666666667,0.0,689.9966666666667,6.776666666666666,0
785,-0.14512625256921075,251.04531315633068,411.91333333333336,0.0,270.79333333333335,2.6166666666666667,0
