1.0,1552910493.9048555,1552910494.7879813
2.0,1552910497.3550026,1552910499.1614068
3.0,1552910501.1663253,1552910501.9234426
4.0,1552910504.6729887,1552910505.3818316
5.2,1552910534.054791,1552910538.1688638
6.0,1552910539.9461842,1552910540.9573517
7.0,1552910542.5212371,1552910543.4551501
8.0,1552910545.453665,1552910547.551947
9.1,1552910561.087931,1552910563.8141005
10.0,1552910565.485879,1552910566.2726068
11.1,1552910580.032299,1552910582.094652
12.0,1552910584.8923624,1552910585.7313983
13.0,1552910590.6377347,1552910591.709173
14.0,1552910595.7457523,1552910596.74663
15.0,1552910599.5765665,1552910600.3045022
16.0,1552910603.0825036,1552910603.7392638
17.0,1552910605.6629272,1552910606.587485
18.0,1552910609.4377832,1552910612.8711476
19.1,1552910619.4675097,1552910620.4763634
21.0,1552910642.9693718,1552910647.981326
22.1,1552910660.7029252,1552910661.6488974
23.0,1552910663.3407993,1552910664.4093106
24.1,1552910672.9186633,1552910673.7527573
25.0,1552910677.522384,1552910678.5038903
26.0,1552910680.3704004,1552910681.2389424
27.0,1552910683.0721953,1552910683.8574095
28.2,1552910701.332828,1552910703.3543448
29.0,1552910706.0885537,1552910706.9789398
30.0,1552910708.774347,1552910709.6102002
31.1,1552910718.364518,1552910724.2015285
32.0,1552910725.9025776,1552910726.6562035
33.0,1552910728.4905326,1552910732.9454982
34.0,1552910734.8049922,1552910735.718966
35.0,1552910737.627091,1552910743.765829
36.0,1552910747.5505323,1552910749.281125
37.0,1552910752.145227,1552910753.2429297
38.1,1552910758.8462408,1552910759.6661932
39.1,1552910766.0694797,1552910766.8351939
40.0,1552910769.6675591,1552910770.6890695
41.0,1552910773.0485206,1552910774.028705
42.0,1552910776.9428966,1552910777.7093387
43.0,1552910783.5341642,1552910784.327022
44.0,1552910786.0660655,1552910786.9799259
45.0,1552910789.7130127,1552910791.5357876
46.0,1552910793.3739707,1552910794.2875998
47.0,1552910796.0268154,1552910796.999263
48.0,1552910801.8198748,1552910806.8330982
49.0,1552910808.7390168,1552910809.8074
50.0,1552910812.5569253,1552910813.3457541
51.0,1552910815.1282542,1552910816.0392401
52.0,1552910818.8150258,1552910822.5824177
53.0,1552910825.4452088,1552910826.336084
54.0,1552910828.2684257,1552910829.0631874
55.0,1552910830.7423687,1552910831.5862503
56.0,1552910833.291531,1552910834.2673564
57.0,1552910836.3292894,1552910837.9341867
58.0,1552910840.743972,1552910841.6561058
59.0,1552910843.357896,1552910844.400044
60.0,1552910846.2286582,1552910847.851333
61.0,1552910849.615653,1552910851.4367461
62.0,1552910853.3161633,1552910856.890735
63.1,1552910861.2703032,1552910862.864821
64.0,1552910864.5763593,1552910867.3418958
65.0,1552910869.921077,1552910871.963117
66.0,1552910873.621402,1552910876.7180727
67.0,1552910878.7899137,1552910885.7364266
68.0,1552910887.573843,1552910894.3178458
69.1,1552910898.0515044,1552910899.087625
70.0,1552910902.987507,1552910905.7740326
71.1,1552910912.945949,1552910914.6149578
72.2,1552910941.0780256,1552910947.3981466
73.1,1552910951.011076,1552910952.8339698
74.0,1552910954.6097307,1552910955.4453218
75.0,1552910957.2609286,1552910958.172366
76.1,1552910963.5016158,1552910964.301915
77.0,1552910967.1972442,1552910968.9469144
78.2,1552910979.1279988,1552910979.9047232
79.0,1552910981.72452,1552910982.518381
80.0,1552910985.3415382,1552910991.826944
81.2,1552911013.6090715,1552911022.6616344
82.0,1552911024.4725752,1552911025.4023073
83.0,1552911028.2407537,1552911029.118656
84.0,1552911032.0161524,1552911032.8801908
85.1,1552911045.7773583,1552911046.692226
86.0,1552911049.4965441,1552911050.1446836
87.0,1552911053.1086285,1552911053.7202022
88.0,1552911056.5509717,1552911064.8995755
89.0,1552911067.631552,1552911069.5538886
90.0,1552911071.45519,1552911074.1696992
91.0,1552911077.0264,1552911077.8171036
92.0,1552911083.7563124,1552911084.663285
93.0,1552911088.4586377,1552911089.4183707
94.0,1552911092.0015488,1552911092.83597
95.0,1552911094.6774871,1552911095.6161664
96.0,1552911098.534054,1552911099.3679466
97.0,1552911102.2983315,1552911103.2651045
98.0,1552911108.031141,1552911108.9979243
99.0,1552911113.880505,1552911117.3275168
100.0,1552911118.9884517,1552911119.8010647
101.0,1552911121.5719972,1552911122.3660934
102.2,1552911139.733538,1552911140.311653
103.1,1552911143.4757688,1552911149.4809563
104.0,1552911151.3154678,1552911159.6985006
105.0,1552911161.685168,1552911162.4950736
106.1,1552911167.0327876,1552911174.0720932
107.0,1552911175.8947952,1552911176.6979537
108.0,1552911179.445655,1552911189.2865226
109.0,1552911191.0097334,1552911197.825043
110.0,1552911199.6522622,1552911201.460863
111.0,1552911203.3205736,1552911204.0076075
112.0,1552911206.945904,1552911207.9329832
113.1,1552911212.2335002,1552911218.3671558
114.0,1552911219.8941522,1552911220.934916
115.1,1552911230.1225903,1552911231.8393085
116.1,1552911238.4394307,1552911239.319516
117.0,1552911241.1977181,1552911242.004717
118.0,1552911243.7011433,1552911244.6043897
119.0,1552911246.4029129,1552911247.09523
120.0,1552911249.822598,1552911250.6433797
121.0,1552911252.4328556,1552911253.3158522
122.0,1552911257.1209311,1552911257.983097
123.0,1552911259.7250466,1552911266.596911
124.1,1552911272.465084,1552911273.1290824
125.0,1552911278.0615168,1552911279.0879886
126.0,1552911281.121983,1552911281.9149964
127.0,1552911284.891995,1552911285.696044
128.1,1552911295.285193,1552911296.314881
129.0,1552911298.0288932,1552911299.0654452
130.0,1552911301.851495,1552911303.5187905
131.0,1552911306.4163408,1552911308.468243
