Taxa,Lat,Perd,Proto
3.71,100,15,HTTP
3.6466666666666665,100,15,HTTP
3.6433333333333335,100,15,HTTP
3.716666666666667,100,15,HTTP
3.9033333333333333,100,15,HTTP
3.3566666666666665,100,15,HTTP
3.8,100,15,HTTP
3.6,100,15,HTTP
3.53,100,15,HTTP
3.546666666666667,100,15,HTTP
3.3866666666666667,100,15,HTTP
3.4833333333333334,100,15,HTTP
3.5566666666666666,100,15,HTTP
3.513333333333333,100,15,HTTP
3.58,100,15,HTTP
3.4766666666666666,100,15,HTTP
3.493333333333333,100,15,HTTP
3.44,100,15,HTTP
3.39,100,15,HTTP
2.8033333333333332,100,15,HTTP
3.723333333333333,100,15,HTTP
3.506666666666667,100,15,HTTP
3.4466666666666668,100,15,HTTP
3.6233333333333335,100,15,HTTP
3.5033333333333334,100,15,HTTP
3.46,100,15,HTTP
3.4433333333333334,100,15,HTTP
3.64,100,15,HTTP
5.87,100,0,HTTP
5.826666666666667,100,0,HTTP
5.89,100,0,HTTP
5.8533333333333335,100,0,HTTP
5.8933333333333335,100,0,HTTP
5.833333333333333,100,0,HTTP
5.996666666666667,100,0,HTTP
5.863333333333333,100,0,HTTP
5.943333333333333,100,0,HTTP
5.766666666666667,100,0,HTTP
5.863333333333333,100,0,HTTP
5.836666666666667,100,0,HTTP
5.883333333333334,100,0,HTTP
5.743333333333333,100,0,HTTP
5.963333333333333,100,0,HTTP
6.01,100,0,HTTP
5.973333333333334,100,0,HTTP
5.886666666666667,100,0,HTTP
5.873333333333333,100,0,HTTP
5.756666666666667,100,0,HTTP
5.843333333333334,100,0,HTTP
5.786666666666667,100,0,HTTP
6.076666666666667,100,0,HTTP
5.906666666666666,100,0,HTTP
5.793333333333333,100,0,HTTP
5.89,100,0,HTTP
5.843333333333334,100,0,HTTP
5.96,100,0,HTTP
2.39,100,25,HTTP
1.8566666666666667,100,25,HTTP
1.9466666666666668,100,25,HTTP
2.3666666666666667,100,25,HTTP
1.5,100,25,HTTP
2.013333333333333,100,25,HTTP
2.4133333333333336,100,25,HTTP
2.57,100,25,HTTP
2.1066666666666665,100,25,HTTP
2.046666666666667,100,25,HTTP
2.0733333333333333,100,25,HTTP
2.05,100,25,HTTP
2.1633333333333336,100,25,HTTP
2.1733333333333333,100,25,HTTP
2.56,100,25,HTTP
2.0033333333333334,100,25,HTTP
2.5166666666666666,100,25,HTTP
2.0,100,25,HTTP
2.13,100,25,HTTP
1.76,100,25,HTTP
2.236666666666667,100,25,HTTP
1.73,100,25,HTTP
1.6933333333333334,100,25,HTTP
1.99,100,25,HTTP
2.33,100,25,HTTP
1.9733333333333334,100,25,HTTP
2.44,100,25,HTTP
2.0966666666666667,100,25,HTTP
2.0933333333333333,400,15,HTTP
1.8166666666666667,400,15,HTTP
1.9566666666666668,400,15,HTTP
1.91,400,15,HTTP
1.8733333333333333,400,15,HTTP
1.9333333333333333,400,15,HTTP
1.9733333333333334,400,15,HTTP
1.8533333333333333,400,15,HTTP
1.8266666666666667,400,15,HTTP
1.68,400,15,HTTP
1.98,400,15,HTTP
2.0733333333333333,400,15,HTTP
1.8766666666666667,400,15,HTTP
1.83,400,15,HTTP
2.0733333333333333,400,15,HTTP
2.0766666666666667,400,15,HTTP
1.9533333333333334,400,15,HTTP
1.9966666666666666,400,15,HTTP
1.8466666666666667,400,15,HTTP
1.9966666666666666,400,15,HTTP
1.8633333333333333,400,15,HTTP
1.7533333333333334,400,15,HTTP
1.9166666666666667,400,15,HTTP
1.9566666666666668,400,15,HTTP
1.8566666666666667,400,15,HTTP
1.87,400,15,HTTP
2.046666666666667,400,15,HTTP
2.0433333333333334,400,15,HTTP
3.0733333333333333,400,0,HTTP
3.0566666666666666,400,0,HTTP
3.09,400,0,HTTP
3.0833333333333335,400,0,HTTP
3.04,400,0,HTTP
3.0866666666666664,400,0,HTTP
3.04,400,0,HTTP
3.1233333333333335,400,0,HTTP
3.0166666666666666,400,0,HTTP
3.02,400,0,HTTP
3.05,400,0,HTTP
3.006666666666667,400,0,HTTP
3.06,400,0,HTTP
3.07,400,0,HTTP
3.03,400,0,HTTP
3.0933333333333333,400,0,HTTP
3.0433333333333334,400,0,HTTP
3.0533333333333332,400,0,HTTP
3.0533333333333332,400,0,HTTP
3.0966666666666667,400,0,HTTP
3.033333333333333,400,0,HTTP
3.11,400,0,HTTP
3.006666666666667,400,0,HTTP
3.066666666666667,400,0,HTTP
3.1466666666666665,400,0,HTTP
3.0733333333333333,400,0,HTTP
3.0766666666666667,400,0,HTTP
3.05,400,0,HTTP
1.3466666666666667,400,25,HTTP
1.29,400,25,HTTP
1.3666666666666667,400,25,HTTP
1.3466666666666667,400,25,HTTP
1.2633333333333334,400,25,HTTP
1.4033333333333333,400,25,HTTP
1.16,400,25,HTTP
1.3666666666666667,400,25,HTTP
1.35,400,25,HTTP
1.2466666666666666,400,25,HTTP
1.0266666666666666,400,25,HTTP
1.2266666666666666,400,25,HTTP
1.33,400,25,HTTP
1.1966666666666668,400,25,HTTP
1.44,400,25,HTTP
1.3733333333333333,400,25,HTTP
1.33,400,25,HTTP
1.38,400,25,HTTP
1.3933333333333333,400,25,HTTP
1.17,400,25,HTTP
1.26,400,25,HTTP
1.35,400,25,HTTP
1.4366666666666668,400,25,HTTP
1.3333333333333333,400,25,HTTP
1.3133333333333332,400,25,HTTP
1.1266666666666667,400,25,HTTP
1.3533333333333333,400,25,HTTP
1.4233333333333333,400,25,HTTP
4.1466666666666665,10,15,HTTP
4.5,10,15,HTTP
3.92,10,15,HTTP
4.4366666666666665,10,15,HTTP
4.9,10,15,HTTP
3.953333333333333,10,15,HTTP
4.283333333333333,10,15,HTTP
4.503333333333333,10,15,HTTP
4.33,10,15,HTTP
4.516666666666667,10,15,HTTP
4.49,10,15,HTTP
4.236666666666666,10,15,HTTP
4.05,10,15,HTTP
4.41,10,15,HTTP
4.373333333333333,10,15,HTTP
4.523333333333333,10,15,HTTP
4.166666666666667,10,15,HTTP
4.556666666666667,10,15,HTTP
4.6066666666666665,10,15,HTTP
4.383333333333334,10,15,HTTP
4.716666666666667,10,15,HTTP
4.526666666666666,10,15,HTTP
4.3933333333333335,10,15,HTTP
4.57,10,15,HTTP
4.27,10,15,HTTP
4.806666666666667,10,15,HTTP
3.85,10,15,HTTP
3.8833333333333333,10,15,HTTP
7.316666666666666,10,0,HTTP
7.153333333333333,10,0,HTTP
7.156666666666666,10,0,HTTP
7.303333333333334,10,0,HTTP
7.11,10,0,HTTP
7.54,10,0,HTTP
7.263333333333334,10,0,HTTP
7.07,10,0,HTTP
7.19,10,0,HTTP
7.23,10,0,HTTP
7.6066666666666665,10,0,HTTP
7.44,10,0,HTTP
7.07,10,0,HTTP
7.136666666666667,10,0,HTTP
7.266666666666667,10,0,HTTP
7.333333333333333,10,0,HTTP
7.426666666666667,10,0,HTTP
