QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
842,-0.01711832146180214,166.74003915761435,432.8566666666667,0.0,281.43,2.8066666666666666,0
854,-0.026183262083513674,0.0,446.5966666666667,0.0,293.09,2.8466666666666667,0
784,-0.017415979991153796,0.0,404.2,0.0,262.8666666666667,2.6133333333333333,0
819,-0.047502942428775174,0.0,413.1933333333333,0.0,265.24666666666667,2.73,0
774,-0.05467575957916812,0.0,395.1,0.0,255.31333333333333,2.58,0
767,-0.01304123174724554,0.0,406.25,0.0,268.10333333333335,2.5566666666666666,0
875,-0.11125816699436733,0.0,476.4433333333333,0.0,318.27,2.9166666666666665,0
890,-0.09328769914219888,0.0,467.92333333333335,0.0,307.25666666666666,2.966666666666667,0
805,-0.01499749621989564,0.0,411.39,0.0,266.12333333333333,2.683333333333333,1
680,-0.01617173622636234,0.0,365.03333333333336,0.0,242.62,2.2666666666666666,0
795,-0.018631945616044338,0.0,409.24666666666667,0.0,266.3,2.65,0
761,-0.0279591691321675,0.0,399.47,0.0,261.8566666666667,2.5366666666666666,0
900,-0.1960826807551914,0.0,475.37333333333333,0.0,312.8666666666667,3.0,0
772,-0.01354658418368799,0.0,389.75333333333333,0.0,250.83333333333334,2.5733333333333333,0
811,-0.01323048783289372,0.0,411.24,0.0,264.74666666666667,2.703333333333333,0
666,-0.013072994736221817,0.0,342.7366666666667,0.0,222.04333333333332,2.22,0
713,-0.01201761521263176,0.0,366.4633333333333,0.0,237.54333333333332,2.3766666666666665,0
730,-0.04875013828277588,0.0,389.03,0.0,257.35,2.433333333333333,0
647,-0.02886672255797585,0.0,346.1066666666667,0.0,229.70666666666668,2.1566666666666667,0
629,-0.018840105241736092,0.0,339.67,0.0,225.83,2.0966666666666667,0
833,-0.034699577386496594,115.1910696526741,441.00333333333333,0.0,291.12333333333333,2.776666666666667,0
810,-0.016141981843077108,0.0,431.64,0.0,285.44,2.7,0
803,-0.01561309005670797,0.0,420.85333333333335,0.0,275.70666666666665,2.6766666666666667,0
691,-0.021469577866594283,0.0,352.22,0.0,227.48666666666668,2.3033333333333332,0
545,-0.14907839845079895,0.0,278.35333333333335,0.0,179.78,1.8166666666666667,0
624,-0.015077633353380056,0.0,335.9533333333333,0.0,223.56666666666666,2.08,0
626,-0.10486850494774766,0.0,336.7733333333333,0.0,224.29333333333332,2.0866666666666664,1
929,-0.05255898977634853,0.0,491.21666666666664,0.0,323.2033333333333,3.0966666666666667,0
770,-0.01609282245883694,0.0,402.53333333333336,0.0,263.97333333333336,2.566666666666667,0
743,-0.01668010297084721,0.0,393.92333333333335,0.0,259.77666666666664,2.4766666666666666,0
758,-0.12006488953542584,730.5836718286376,390.78,0.0,254.15333333333334,2.526666666666667,0
835,-0.013782309343714914,0.0,449.1166666666667,0.0,299.0366666666667,2.783333333333333,0
785,-0.01677160414920491,0.0,404.5,0.0,263.3,2.6166666666666667,0
647,-0.01345058607723466,0.0,330.64666666666665,0.0,213.83333333333334,2.1566666666666667,0
653,-0.015999164552089815,0.0,331.8,0.0,213.82666666666665,2.1766666666666667,1
553,-0.021674080308910736,0.0,295.18666666666667,0.0,195.86666666666667,1.8433333333333333,1
651,-0.021357032377415906,0.0,330.48,0.0,212.96,2.17,0
743,-0.0176490132933831,0.0,383.3,0.0,249.02,2.4766666666666666,0
790,-0.01831391370749172,0.0,415.42333333333335,0.0,272.73,2.6333333333333333,1
725,-0.009268011224680933,0.0,367.52666666666664,0.0,236.68666666666667,2.4166666666666665,0
752,-0.012038618643233117,0.0,390.1066666666667,0.0,254.24,2.506666666666667,1
576,-0.012871711204449335,0.0,296.46666666666664,0.0,192.73333333333332,1.92,0
695,-0.009378359129102967,0.0,357.94666666666666,0.0,232.44,2.316666666666667,0
