QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
258,-0.008978509163671686,0.0,437.32666666666665,0.0,413.24666666666667,0.86,0
289,-0.009088576458729675,0.0,491.99333333333334,0.0,465.02,0.9633333333333334,0
289,-0.009154760301319374,0.0,492.62666666666667,0.0,465.6533333333333,0.9633333333333334,0
288,-0.008970211777422164,0.0,490.35,0.0,463.47,0.96,0
289,-0.009116303137016956,0.0,492.3333333333333,0.0,465.36,0.9633333333333334,0
289,-0.00926567773917967,0.0,492.06666666666666,0.0,465.0933333333333,0.9633333333333334,0
288,-0.009356607993443808,0.0,490.8433333333333,0.0,463.9633333333333,0.96,0
288,-0.008995343413617875,0.0,490.00333333333333,0.0,463.12333333333333,0.96,0
289,-0.009337157114154327,0.0,492.55333333333334,0.0,465.58,0.9633333333333334,0
288,-0.00910419225692749,0.0,490.99,0.0,464.11,0.96,0
288,-0.00901467353105545,0.0,489.49,0.0,462.61,0.96,0
288,-0.009192579322391085,0.0,490.47333333333336,0.0,463.5933333333333,0.96,0
289,-0.008945431263801549,0.0,491.3233333333333,0.0,464.35,0.9633333333333334,0
288,-0.009178477856847975,0.0,490.1,0.0,463.22,0.96,0
288,-0.009118204315503439,0.0,490.41,0.0,463.53,0.96,0
287,-0.00900864351917227,0.0,489.1933333333333,0.0,462.4066666666667,0.9566666666666667,0
288,-0.009199519952138266,0.0,490.4166666666667,0.0,463.5366666666667,0.96,0
288,-0.009293386505709754,0.0,490.1166666666667,0.0,463.2366666666667,0.96,0
288,-0.00937271366516749,0.0,489.89666666666665,0.0,463.01666666666665,0.96,0
288,-0.009217566086186303,0.0,490.52,0.0,463.64,0.96,0
287,-0.009174861143690368,0.0,488.5733333333333,0.0,461.7866666666667,0.9566666666666667,0
288,-0.008848049574428134,0.0,490.85,0.0,463.97,0.96,0
287,-0.009193584894054028,0.0,488.44666666666666,0.0,461.66,0.9566666666666667,0
288,-0.009168523881170485,0.0,489.93,0.0,463.05,0.96,0
287,-0.009115802286393967,0.0,488.25333333333333,0.0,461.46666666666664,0.9566666666666667,0
288,-0.009239367312855191,0.0,489.93,0.0,463.05,0.96,0
287,-0.009159438701456848,0.0,488.83666666666664,0.0,462.05,0.9566666666666667,0
287,-0.00863890697731789,0.0,488.50333333333333,0.0,461.71666666666664,0.9566666666666667,0
288,-0.009050740136040581,0.0,490.26,0.0,463.38,0.96,0
287,-0.009007146549557143,0.0,488.89666666666665,0.0,462.11,0.9566666666666667,0
287,-0.008988692785389331,0.0,488.4066666666667,0.0,461.62,0.9566666666666667,0
272,-0.009230142130571254,0.0,462.71666666666664,0.0,437.33,0.9066666666666666,0
