QTD_PACOTES,MED_ATRASO,TAX_MED_LEN_PKG,TAX_MED_LEN_PKG_POR_SEG,TAX_MED_LEN_PAYLOAD,TAX_MED_LEN_PAYLOAD_POR_SEG,TAX_PKG_POR_SEG,QTD_PKG_PERDIDOS
237,0.19049381505587937,2731.772632378321,403.57666666666665,2582.0162215571922,381.45666666666665,0.79,0
258,0.054971728213997775,26124.993477711196,438.5466666666667,24691.662834756353,414.46666666666664,0.86,0
275,-0.00897829836065119,0.0,468.2266666666667,0.0,442.56,0.9166666666666666,0
319,-0.009038489440391803,0.0,543.8833333333333,0.0,514.11,1.0633333333333332,0
317,-0.00881402123989743,0.0,539.62,0.0,510.03333333333336,1.0566666666666666,0
317,-0.00914961156032815,0.0,540.29,0.0,510.7033333333333,1.0566666666666666,0
275,-0.008961748643354936,0.0,468.1433333333333,0.0,442.4766666666667,0.9166666666666666,0
274,-0.009035099161802417,0.0,466.7733333333333,0.0,441.2,0.9133333333333333,0
244,-0.008855118126165672,0.0,416.10333333333335,0.0,393.33,0.8133333333333334,0
329,-0.009160570822950555,0.0,560.1466666666666,0.0,529.44,1.0966666666666667,0
335,-0.009130355493346258,0.0,569.8,0.0,538.5333333333333,1.1166666666666667,0
310,-0.009186633940665953,0.0,528.6866666666666,0.0,499.75333333333333,1.0333333333333334,0
283,-0.009145944784049852,0.0,482.41333333333336,0.0,456.0,0.9433333333333334,0
273,-0.009020187042571686,0.0,464.11,0.0,438.63,0.91,0
321,-0.009130514299386758,0.0,545.8533333333334,0.0,515.8933333333333,1.07,0
310,-0.009032813964351532,0.0,527.8033333333333,0.0,498.87,1.0333333333333334,0
270,-0.0091099394692315,0.0,459.18,0.0,433.98,0.9,0
246,-0.00880364480057383,0.0,418.44666666666666,0.0,395.4866666666667,0.82,0
247,-0.00908761275442023,0.0,420.3466666666667,0.0,397.29333333333335,0.8233333333333334,0
278,-0.009128164902007838,0.0,473.7633333333333,0.0,447.81666666666666,0.9266666666666666,0
303,-0.00889183507107272,0.0,516.7633333333333,0.0,488.48333333333335,1.01,0
302,-0.008798451613116738,0.0,513.7266666666667,0.0,485.54,1.0066666666666666,0
271,-0.009165718106766028,0.0,461.4066666666667,0.0,436.11333333333334,0.9033333333333333,0
285,-0.009152550446359735,0.0,484.68333333333334,0.0,458.0833333333333,0.95,0
273,-0.009092516951508575,0.0,464.83666666666664,0.0,439.3566666666667,0.91,0
280,-0.009023587192807879,0.0,476.7266666666667,0.0,450.5933333333333,0.9333333333333333,0
318,-0.009088531230230752,0.0,541.7566666666667,0.0,512.0766666666667,1.06,0
294,-0.009070196930243045,0.0,500.4266666666667,0.0,472.9866666666667,0.98,0
307,-0.009307212084046404,0.0,523.5433333333333,0.0,494.89,1.0233333333333334,0
321,-0.008969744417897637,0.0,546.12,0.0,516.16,1.07,0
293,-0.009239802995232593,0.0,498.84,0.0,471.49333333333334,0.9766666666666667,0
267,-0.008921206220705412,0.0,454.21,0.0,429.29,0.89,0
287,-0.008888255428354084,0.0,488.13666666666666,0.0,461.35,0.9566666666666667,0
285,-0.009150187174479166,0.0,484.5966666666667,0.0,457.99666666666667,0.95,0
305,-0.00904878553796987,0.0,519.4,0.0,490.93333333333334,1.0166666666666666,0
312,-0.008919142759763278,0.0,531.0266666666666,0.0,501.9066666666667,1.04,0
317,-0.009217996326530769,0.0,539.5166666666667,0.0,509.93,1.0566666666666666,0
275,-0.009108376936479048,0.0,468.38666666666666,0.0,442.72,0.9166666666666666,0
326,-0.00911420108350508,0.0,555.7166666666667,0.0,525.29,1.0866666666666667,0
295,-0.008877472150123725,0.0,502.1066666666667,0.0,474.5733333333333,0.9833333333333333,0
360,-0.008862474229600695,0.0,611.9666666666667,0.0,578.3666666666667,1.2,0
45,-0.00942588382297092,0.0,76.76,0.0,72.56,0.15,0
